eui_kwh_m2,OCEI_kgco2e_m2,rank_eui,rank_ocei,rank_shift,abs_rank_shift
148.69857713251056,52.94312620823577,71.0,85.0,14.0,14.0
112.4559825355359,46.87922769845089,24.0,47.0,23.0,23.0
103.44046633795364,40.76400939313466,16.0,20.0,4.0,4.0
136.23253981836913,46.95061661549015,51.0,48.0,-3.0,3.0
135.13251942214615,46.74162361675612,50.0,46.0,-4.0,4.0
155.23141221366663,51.12392727510117,78.0,77.0,-1.0,1.0
87.36736413469063,38.38750057286061,5.0,8.0,3.0,3.0
119.32566644121457,42.98316531865589,34.0,31.0,-3.0,3.0
146.54264086083646,48.525856639738265,66.0,60.0,-6.0,6.0
131.29519453285965,48.05524747227085,45.0,55.0,10.0,10.0
99.28043681029784,39.771915033741216,11.0,16.0,5.0,5.0
141.8726106091898,45.77976458432332,59.0,42.0,-17.0,17.0
175.46229307040142,53.4804189387094,95.0,91.0,-4.0,4.0
102.54962869343976,38.61012692204214,14.0,9.0,-5.0,5.0
78.06796763397006,34.58713383477827,2.0,3.0,1.0,1.0
178.0938382662934,53.40531412533896,97.0,89.0,-8.0,8.0
160.48864752847885,51.25261790950474,83.0,78.0,-5.0,5.0
174.34762793210118,50.78281537303387,94.0,75.0,-19.0,19.0
128.99867788059274,34.44942831397303,42.0,2.0,-40.0,40.0
